Time	direction	frame	subF	slot	1stSym	nSymbol	cellId	bwpId	rnti	tbSize	mcs	rank	rv	SINR(dB)	CQI	corrupt	TBler
0.573929	DL	57	3	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.574929	DL	57	4	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.575929	DL	57	5	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.576929	DL	57	6	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.577929	DL	57	7	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.578929	DL	57	8	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.579929	DL	57	9	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.580929	DL	58	0	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.581929	DL	58	1	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.582929	DL	58	2	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.583929	DL	58	3	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.584929	DL	58	4	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.585929	DL	58	5	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.586929	DL	58	6	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.587929	DL	58	7	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.588929	DL	58	8	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.589929	DL	58	9	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.590929	DL	59	0	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.591929	DL	59	1	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.592929	DL	59	2	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.593929	DL	59	3	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.594929	DL	59	4	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.595929	DL	59	5	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.596929	DL	59	6	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.597929	DL	59	7	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.598929	DL	59	8	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.599929	DL	59	9	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.600929	DL	60	0	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.601929	DL	60	1	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.602929	DL	60	2	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.603929	DL	60	3	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.604929	DL	60	4	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.605929	DL	60	5	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.606929	DL	60	6	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.607929	DL	60	7	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.608929	DL	60	8	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.609929	DL	60	9	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.610929	DL	61	0	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.611929	DL	61	1	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.612929	DL	61	2	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.613929	DL	61	3	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.614929	DL	61	4	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.615929	DL	61	5	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.616929	DL	61	6	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.617929	DL	61	7	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.618857	DL	61	8	0	1	11	1	0	1	766	0	2	0	49.804	15	0	0
0.619929	DL	61	9	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.620929	DL	62	0	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.621929	DL	62	1	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.622929	DL	62	2	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.623929	DL	62	3	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.624929	DL	62	4	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.625929	DL	62	5	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.626929	DL	62	6	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.627929	DL	62	7	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.628929	DL	62	8	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.629929	DL	62	9	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.630929	DL	63	0	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.631929	DL	63	1	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.632929	DL	63	2	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.633929	DL	63	3	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.634929	DL	63	4	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.635929	DL	63	5	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.636929	DL	63	6	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.637929	DL	63	7	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.638929	DL	63	8	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.639929	DL	63	9	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.640929	DL	64	0	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.641929	DL	64	1	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.642929	DL	64	2	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.643929	DL	64	3	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
0.644929	DL	64	4	0	1	12	1	0	1	836	0	2	0	49.804	15	0	0
